Trial Title,Trial Phase,Trial Status,Sponsor,Disease,Patient Segment,MeSH Term,Countries
A Prospective Feasibility Study Using ctDNA to Tailor Neoadjuvant Chemotherapy for Patients With Colorectal or Appendiceal Adenocarcinoma,I,Planned,"MD Anderson Cancer Center, University of Texas;",Oncology: Colorectal; Oncology: Unspecified Cancer,(N/A); Line of therapy N/A,Colorectal Neoplasms; Neoplasms,United States
A Randomized Clinical Trial Comparing ctDNA-Directed Therapy Change With Standard of Care in Patients With Metastatic Triple Negative Breast Cancer,II,Open,"National Institutes of Health/National Cancer Institute;
Vanderbilt-Ingram Cancer Center;",Oncology: Breast,Estrogen receptor positive; First line; HER2 negative; Progesterone receptor positive; Stage IV; Triple receptor negative,Breast Neoplasms; Carcinoma,United States
"Combination Post-transplant Consolidation Therapy With Isatuximab, Lenalidomide, Dexamethasone (IsaRD) in Multiple Myeloma Patients With Persistent Marrow Minimal Residual Disease (Elimination of MRD After Transplant; E-MAT)",II,Open,Medical College of Wisconsin Cancer Center;,Oncology: Multiple Myeloma,(N/A); First line; Untreated,"Multiple Myeloma; Neoplasm, Residual; Neoplasms, Plasma Cell",United States
"Phase II Study of MRD Guided, FIxed DuRation TherApy for Previously Untreated Chronic Lymphocytic LeukEmia With Pirtobrutinib and Venetoclax (MIRACLE)",II,Open,"National Institutes of Health/National Cancer Institute;
Mayo Clinic;","Oncology: Leukemia, Chronic Lymphocytic",(N/A); First line,"Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid",United States
A Phase 1/1b Multicenter Ascending Dose Study to Evaluate the Safety of HA-1 Minor Histocompatibility Antigen-Reactive TCR-Modified T Cells (BSB-1001) in Patients Undergoing HLA-Matched Allogenic Hematopoietic Stem Cell Transplant (alloSCT) for MRD+ AML or ALL or Poor/Very Poor Risk MDS,I,Planned,BlueSphere Bio;,"Oncology: Leukemia, Acute Lymphocytic; Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome",(N/A); High risk; Int-1 risk; Int-2 risk; Line of therapy N/A; Low risk,"Leukemia, Myeloid, Acute; Myelodysplastic Syndromes; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States
Pilot Study to Evaluate the Role for Circulating Tumor DNA (ctDNA) in Monitoring Subjects With Muscle-invasive Bladder Cancer Treated With Trimodality Therapy,IV,Open,UNC Lineberger Comprehensive Cancer Center;,Oncology: Bladder,(N/A); Line of therapy N/A,Urethral Neoplasms; Urinary Bladder Neoplasms,United States
"A Randomized, Open Labeled Phase II Pilot Study of Total Neoadjuvant Chemotherapy With FLOT ( FLOT-TNT) VS Standard Perioperative FLOT ( FLOTPOP) in Patients With Gastric or GEJ Cancer, and Assessment of CTDNA as Correlative Biological Response",II,Planned,Baylor College of Medicine;,Oncology: Esophageal; Oncology: Gastric,Adjuvant; Neoadjuvant; Stage I; Stage II; Stage III,Adenocarcinoma; Esophageal Neoplasms; Stomach Neoplasms,United States
Phase I Safety and Tolerability Trial of CD19 Directed CAR T Cells in Adult Patients With B-Cell Acute Lymphoblastic Leukemia (B-ALL) With Minimal Residual Disease (MRD) Positivity at First Complete Remission,I,Open,University of Colorado;,"Oncology: Leukemia, Acute Lymphocytic",B-cell; Line of therapy N/A; Remission,"Leukemia; Leukemia, Lymphoid; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States
Evaluating Novel Therapies and ctDNA as a Marker in Curatively-Treated Gastrointestinal Cancers With Microscopic Residual Disease,III,Open,"Roche/Genentech;
Georgetown University;
Natera;",Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Colorectal; Oncology: Gallbladder; Oncology: Gastric; Oncology: Liver; Oncology: Pancreas,Distal; Hilar; Intrahepatic; PD-1 Naive; PD-L1 Naive; Second line; Stage II; Stage IV,Adenocarcinoma; Bile Duct Neoplasms; Cholangiocarcinoma; Colorectal Neoplasms; Gallbladder Neoplasms; Liver Neoplasms; Pancreatic Neoplasms; Stomach Neoplasms,United States
ctDNA-Guided Sunitinib And Regorafenib Therapy for Gastrointestinal Stromal Tumor (GIST),II,Open,University of Miami School of Medicine;,Oncology: GIST,Metastatic; Second line; Unresectable,Gastrointestinal Stromal Tumors,United States
TAS-102 in ctDNA-defined Minimal Residual Disease in Colorectal Cancer After Completion of Adjuvant Chemotherapy,II,Open,"MD Anderson Cancer Center, University of Texas;
Otsuka Holdings/Taiho Pharmaceutical;",Oncology: Colorectal,Adjuvant; Stage II; Stage III; Stage IV,"Colorectal Neoplasms; Neoplasm, Residual",United States
Pirtobrutinib (LOXO-305) Consolidation for MRD Eradication in Patients With Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL) Treated With Venetoclax,II,Open,"MD Anderson Cancer Center, University of Texas;","Oncology: Leukemia, Chronic Lymphocytic; Oncology: Lymphoma, Non-Hodgkin's",(N/A); Indolent; Maintenance/Consolidation; Small lymphocytic lymphoma (SLL),"Chronic Lymphocytic Leukemia; Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Lymphoma; Lymphoma, Large-Cell, Anaplastic; Lymphoma, Non-Hodgkin",United States
A Phase II Study of Daratumumab-Hyaluronidase for Chemotherapy-Relapsed/Refractory Minimal Residual Disease (MRD) in T Cell Acute Lymphoblastic Leukemia (T-ALL,II,Open,"Eastern Cooperative Oncology Group (ECOG);
Johnson & Johnson/Janssen Pharmaceuticals;","Oncology: Leukemia, Acute Lymphocytic",Second line; T-cell,"Leukemia; Leukemia, Lymphoid; Neoplasm, Residual; Precursor Cell Lymphoblastic Leukemia-Lymphoma; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma",United States
A Phase II Study of Vibecotamab (XmAb14045) for MRD- Positive AML and MDS After Hypomethylating Agent Failure,II,Open,"MD Anderson Cancer Center, University of Texas;","Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome",High risk; Remission; Second line,"Acute Myelocytic Leukemia; Leukemia, Myeloid, Acute; Myelodysplastic Syndromes; Unspecified",United States
MRD-Guided Sequential Therapy For Deep Response in Newly Diagnosed Multiple Myeloma - MASTER-2 Trial,II,Planned,"University of Alabama, Birmingham;
Johnson & Johnson/Janssen Pharmaceuticals;",Oncology: Multiple Myeloma,(N/A); First line; Maintenance/Consolidation; Untreated,"Multiple Myeloma; Neoplasms, Plasma Cell",United States
BESPOKE Study of ctDNA Guided Immunotherapy,IV,Open,Natera;,"Oncology: Colorectal; Oncology: Lung, Non-Small Cell; Oncology: Melanoma",Line of therapy N/A; Stage III; Stage IV,"Carcinoma, Non-Small-Cell Lung; Colorectal Neoplasms; Melanoma",United States
A Pilot Observational Study to Assess Feasibility of Tumor Response Assessment by Circulating Tumor DNA (ctDNA) in Patients With Locally Advanced Esophageal and GE Junction Adenocarcinoma Undergoing Treatment With Total Upfront Chemotherapy and Chemoradiation,II,Open,Medical College of Wisconsin Cancer Center;,Oncology: Esophageal; Oncology: Gastric,Neoadjuvant; Stage III,Adenocarcinoma; Esophageal Cancer; Esophageal Neoplasms; Stomach Carcinoma; Stomach Neoplasms,United States
Risk-Stratified Adjuvant Therapy: ctDNA-Directed Post-Hepatectomy Chemotherapy for Patients With Resectable Colorectal Liver Metastases,II,Open,"MD Anderson Cancer Center, University of Texas;
Otsuka Holdings/Taiho Pharmaceutical;",Oncology: Colorectal; Oncology: Metastatic Cancer,Adjuvant; Liver mets; Stage IV,Colorectal Neoplasms; Liver Neoplasms; Neoplasm Metastasis,United States
A Phase II Randomized Study of Tiragolumab Plus Atezolizumab Versus Atezolizumab in the Treatment of Stage II Melanoma Patients Who Are ctDNA-positive Following Resection,II,Open,"Washington University School of Medicine;
Roche/Genentech;",Oncology: Melanoma,Adjuvant; Stage II,Melanoma,United States
Application of ctDNA Assay in the Neoadjuvant and Adjuvant Chemotherapy Setting in Patients With Resectable Pancreatic Cancer,I,Open,"University of Oklahoma;
Natera;",Oncology: Pancreas,Adjuvant; Neoadjuvant; Stage I; Stage II,Pancreatic Cancer; Pancreatic Neoplasms,United States
"A Phase Ib Study of Immunotherapy with Ex Vivo Pre-Activated and Expanded Cb-Nk Cells in Combination with Cetuximab, in Colorectal Cancer Patients with Minimal Residual Disease (MRD)",I,Open,"MD Anderson Cancer Center, University of Texas;",Oncology: Colorectal,Second line; Stage II; Stage III; Stage IV,"Colorectal Neoplasms; Neoplasm, Residual",United States
"A Phase III, Double-blind, Randomised Study to Assess Switching to AZD9833 (a Next Generation, Oral SERD) + CDK4/6 Inhibitor (Palbociclib or Abemaciclib) vs Continuing Aromatase Inhibitor (Letrozole or Anastrozole)+ CDK4/6 Inhibitor in HR+/HER2-MBC Patients With Detectable ESR1Mutation Without Disease Progression During 1L Treatment With Aromatase Inhibitor+ CDK4/6 Inhibitor- A ctDNA Guided Early Switch Study",III,Open,AstraZeneca;,Oncology: Breast,Estrogen receptor positive; First line; HER2 negative; Progesterone receptor positive; Stage IV,Breast Neoplasms; Disease Progression,"Australia; Austria; Belgium; Bulgaria; Canada; France; Germany; Hungary; Italy; Japan; Norway; Poland; Portugal; Russia; Slovakia; South Korea; Spain; Switzerland; Taiwan, China; Turkey; United Kingdom; United States"
"Phase II Prospective, Open-Label Randomized Controlled Trial Comparing Standard of Care Therapy With and Without Sequential Cytoreductive Interventions for Patients With Metastatic Foregut Adenocarcinoma and Undetectable Circulating Tumor-Deoxyribose Nucleic Acid (ctDNA) Levels",II,Planned,University of Chicago Medical Center;,Oncology: Bile Duct (Cholangiocarcinoma); Oncology: Esophageal; Oncology: Gallbladder; Oncology: Gastric; Oncology: Metastatic Cancer; Oncology: Pancreas; Oncology: Small Intestine,Distal; First line; Hilar; Intrahepatic; Liver mets; Other mets; Peritoneal mets; Resectable; Stage IV,Adenocarcinoma; Bile Duct Neoplasms; Carcinoid Tumor; Cholangiocarcinoma; Esophageal Cancer; Esophageal Neoplasms; Gallbladder Neoplasms; Intestinal Neoplasms; Liver Neoplasms; Neoplasm Metastasis; Pancreatic Cancer; Pancreatic Neoplasms; Peritoneal Neoplasms; Stomach Carcinoma; Stomach Neoplasms,United States
Proof of Concept Study of ctDNA Guided Change in Treatment for Refractory Minimal Residual Disease in Colon Adenocarcinomas,I,Open,"Otsuka Holdings/Taiho Pharmaceutical;
(Other Hospital/Academic/Medical Center);
Natera;",Oncology: Colorectal,Adjuvant; Stage II; Stage III; Stage IV,"Adenocarcinoma; Colorectal Neoplasms; Neoplasm, Residual",United States
Phase II Trial of Belantamab Mafodotin Consolidation Treatment in Patients With Multiple Myeloma and MRD Positivity After Autologous Stem Cell Transplantation,II,Open,"GlaxoSmithKline;
Roswell Park Cancer Institute;",Oncology: Multiple Myeloma,(N/A); Maintenance/Consolidation; Second line,"Multiple Myeloma; Neoplasms, Plasma Cell",United States
A Phase II Randomized Therapeutic Optimization Trial for Subjects With Refractory Metastatic Colorectal Cancer Using ctDNA: Rapid 1 Trial,II,Open,"University of Florida;
Natera;",Unassigned,,Colorectal Neoplasms,United States
"A Phase III, Double-Blind, Multicenter, Randomized Study of Atezolizumab (Anti-PDL1 Antibody) Versus Placebo as Adjuvant Therapy in Patients With High-Risk Muscle-Invasive Bladder Cancer Who Are ctDNA Positive Following Cystectomy",III,Open,"Roche/Chugai Pharmaceutical;
Roche/Genentech;",Oncology: Bladder,Adjuvant; PD-L1 Positive; Stage II; Stage III; Stage IV,Urethral Neoplasms; Urinary Bladder Neoplasms,"Argentina; Australia; Belgium; Brazil; Canada; China; Colombia; Czech Republic; France; Germany; Greece; Hong Kong, S.A.R., China; Ireland; Israel; Italy; Japan; Poland; Russia; South Korea; Spain; Taiwan, China; Turkey; Ukraine; United Kingdom; United States"
Adjuvant Durvalumab for Early comStage NSCLC Patients With ctDNA Minimal Residual Disease,II,Open,"AstraZeneca;
Stanford University Medical Center;","Oncology: Lung, Non-Small Cell",Adjuvant; PD-L1 Positive; Stage I; Stage II; Stage III,"Carcinoma, Non-Small-Cell Lung; Lung Neoplasms; Neoplasm, Residual",United States
"A Phase II Study of MRD Adapted Therapy With Venetoclax-obinutuzumab in Patients With High or Intermediate BALL Risk Relapsed or Refractory CLL, With Addition of Acalabrutinib in Patients Who Fail to Achieve MRD Eradication",II,Open,"Massachusetts General Hospital;
Roche/Genentech;","Oncology: Leukemia, Chronic Lymphocytic; Oncology: Lymphoma, Non-Hodgkin's",(N/A); Indolent; Second line; Small lymphocytic lymphoma (SLL),"Chronic Lymphocytic Leukemia; Leukemia, Lymphocytic, Chronic, B-Cell; Leukemia, Lymphoid; Lymphoma, Large-Cell, Anaplastic; Lymphoma, Non-Hodgkin",United States
"A Phase IV, Multi-center Open-label Feasibility Study to Evaluate Outpatient Blinatumomab Administration in Adult Subjects With Minimal Residual Disease (MRD) of B-precursor Acute Lymphoblastic Leukemia (ALL) in Complete Hematologic Remission",IV,Open,Amgen;,"Oncology: Leukemia, Acute Lymphocytic",B-cell; Maintenance/Consolidation; Remission,"Leukemia; Leukemia, Lymphoid; Neoplasm, Residual; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States
"A Multi-site, Open-label, Phase II, Randomized, Controlled Trial to Compare the Efficacy of RO7198457 Versus Watchful Waiting in Resected, Stage II (High Risk) and Stage III Colorectal Cancer Patients Who Are ctDNA Positive Following Resection",II,Open,RNA Pharmaceuticals {Ribological};,Oncology: Colorectal,Adjuvant; Stage II; Stage III,Colorectal Neoplasms,Belgium; Germany; Spain; United States
"A Phase II Study of Adjuvant Treatment With Cisplatin-based Chemotherapy Plus Concomitant Atezolizumab in Patients With Stage I (Tumors ≥ 4cm), IIA, IIB, and Select Stage III [Any T1-3 N1-2 and T4N0-2] Resected Non-small Cell Lung Cancer (NSCLC) and the Clearance of Circulating Tumor DNA (ctDNA) Big Ten Cancer Research Consortium BTCRC-LUN19-396",II,Open,"(Other Cooperative Group);
Roche/Genentech;","Oncology: Lung, Non-Small Cell",Adenocarcinoma; Adjuvant; Large Cell; Maintenance/Consolidation; Squamous Cell; Stage I; Stage II; Stage III,"Carcinoma, Non-Small-Cell Lung; Lung Neoplasms",United States
A Phase I Multi-dose Study of Human Placental Hematopoietic Stem Cell Derived Natural Killer Cells (CYNK-001) With or Without Recombinant Human Interleukin-2 (rhIL-2) in Adults With Primary or Secondary Acute Myeloid Leukemia (AML) in Morphologic Complete Remission With Minimal Residual Disease (MRD) or Relapsed/Refractory (R/R) AML,I,Open,Celularity;,"Oncology: Leukemia, Acute Myelogenous",First line; Maintenance/Consolidation; Remission; Second line,"Acute Myelocytic Leukemia; Hematologic Diseases; Hematologic Neoplasms; Leukemia; Leukemia, Myeloid; Leukemia, Myeloid, Acute; Neoplasms; Neoplasms by Histologic Type",United States
Blockade of PD-1 Added to Standard Therapy to Target Measurable Residual Disease in Acute Myeloid Leukemia 1 (BLAST MRD AML-1): A Randomized Phase II Study of the Anti-PD-1 Antibody Pembrolizumab in Combination With Conventional Intensive Chemotherapy as Frontline Therapy in Patients With Acute Myeloid Leukemia,II,Open,National Institutes of Health/National Cancer Institute;,"Oncology: Leukemia, Acute Myelogenous",First line; Maintenance/Consolidation; Remission,"Acute Myelocytic Leukemia; Leukemia; Leukemia, Myeloid; Leukemia, Myeloid, Acute; Myelodysplastic Syndromes",United States
Inotuzumab Ozogamicin for Children With MRD Positive CD22+ Lymphoblastic Leukemia,II,Open,"Pfizer;
St. Jude Children's Research Hospital;","Oncology: Leukemia, Acute Lymphocytic",B-cell; First line; Pediatric or Adolescent; Untreated,"Leukemia; Leukemia, Lymphoid; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States
A Randomized Study Evaluating Tailoring of Advanced/Metastatic Colorectal Cancer (CRC) Therapy Using Circulating Cell-Free Tumor DNA (ctDNA) (TACT-D),II,Open,"MD Anderson Cancer Center, University of Texas;
National Institutes of Health/National Cancer Institute;
Guardant Health;",Oncology: Colorectal,Stage III; Stage IV; Third line,Colorectal Neoplasms,United States
A Phase II Trial of Fractionated Gemtuzumab Ozogamicin to Eradicate Measurable Residual Disease in Acute Myeloid Leukemia Patients (GO for MRD),II,Open,"National Institutes of Health/National Cancer Institute;
Pfizer;
University of Washington;","Oncology: Leukemia, Acute Myelogenous; Oncology: Myelodysplastic Syndrome; Oncology: Myeloproliferative Neoplasms",High risk; Maintenance/Consolidation; Pediatric or Adolescent; Remission; Second line,"Acute Myelocytic Leukemia; Leukemia; Leukemia, Myeloid; Leukemia, Myeloid, Acute; Myelodysplastic Syndromes; Myeloproliferative Disorders",United States
A Phase II Trial of Tisagenlecleucel in First-Line High-Risk (HR) Pediatric And Young Adult Patients With B-Cell Acute Lymphoblastic Leukemia (B-ALL) Who Are Minimal Residual Disease (MRD) Positive At The End of Consolidation (EOC) Therapy.,II,Open,"Novartis;
Children’s Oncology Group;","Oncology: Leukemia, Acute Lymphocytic",B-cell; First line; High risk; Maintenance/Consolidation; Pediatric or Adolescent; Remission; Untreated,"Leukemia; Leukemia, Lymphoid; Precursor Cell Lymphoblastic Leukemia-Lymphoma",Belgium; Canada; Denmark; Finland; France; Germany; Italy; Netherlands; Norway; Spain; Sweden; United Kingdom; United States
A Phase II Pilot Trial to Estimate Survival After a Non-total Body Irradiation (TBI) Based Conditioning Regimen in Patients Diagnosed With Acute Lymphoblastic Leukemia (ALL) Who Are Pre-allogeneic Hematopoietic Cell Transplantation (HCT) Next-generation-sequence (NGS) Minimal Residual Disease (MRD) Negative,II,Open,(Other Hospital/Academic/Medical Center);,"Oncology: Leukemia, Acute Lymphocytic",B-cell; High risk; Pediatric or Adolescent; Remission; Second line; T-cell,"Leukemia; Leukemia, Lymphoid; Precursor Cell Lymphoblastic Leukemia-Lymphoma",United States